EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition,AttriationFlag,TenureGroup,IncomeGroup,EstimatedAttritionCost
1744,45.0,Female,Human Resources,Sales Executive,9756.0,5.0,3.0,No,No,0,2-5 years,High,0.0
1471,44.0,Male,Research & Development,Laboratory Technician,3162.0,5.0,3.0,No,No,0,2-5 years,Low,0.0
1970,33.0,Male,Research & Development,Healthcare Representative,5968.0,9.0,3.0,No,No,0,5+ years,Medium,0.0
1268,33.0,Male,Sales,Sales Executive,8380.0,9.0,3.0,Yes,No,0,5+ years,High,0.0
1352,51.0,Male,Human Resources,Manager,5228.0,33.0,2.0,No,No,0,5+ years,Medium,0.0
848,26.0,Female,Research & Development,Research Scientist,2366.0,8.0,3.0,Yes,Yes,1,5+ years,Low,7098.0
666,36.0,Female,Sales,Sales Representative,2579.0,8.0,3.0,No,No,0,5+ years,Low,0.0
967,36.0,Male,Sales,Sales Executive,10325.0,16.0,4.0,Yes,Yes,1,5+ years,High,30975.0
2252,34.0,Male,Research & Development,Laboratory Technician,1991.0,16.0,3.0,No,No,0,5+ years,Low,0.0
2040,35.0,Female,Human Resources,Sales Executive,8837.0,9.0,4.0,Yes,No,0,5+ years,High,0.0
508,30.0,Male,Sales,Sales Representative,2476.0,1.0,2.0,No,No,0,0-2 years,Low,0.0
997,50.0,Male,Research & Development,Sales Executive,17399.0,5.0,4.0,No,No,0,2-5 years,High,0.0
2285,46.0,Female,Research & Development,Healthcare Representative,13687.0,6.0,3.0,No,No,0,5+ years,High,0.0
1106,25.0,Male,Research & Development,Laboratory Technician,3691.0,7.0,4.0,Yes,Yes,1,5+ years,Low,11073.0
291,32.0,Male,Sales,Sales Executive,10400.0,14.0,4.0,No,Yes,1,5+ years,High,31200.0
786,34.0,Male,Sales,Sales Executive,5228.0,6.0,4.0,No,No,0,5+ years,Medium,0.0
2087,31.0,Male,Research & Development,Manufacturing Director,3719.0,10.0,2.0,No,No,0,5+ years,Low,0.0
1638,36.0,Female,Research & Development,Manufacturing Director,7756.0,5.0,3.0,Yes,No,0,2-5 years,High,0.0
1005,50.0,Male,Research & Development,Manufacturing Director,13973.0,12.0,3.0,Yes,No,0,5+ years,High,0.0
1821,46.0,Female,Research & Development,Healthcare Representative,8926.0,9.0,2.0,No,Yes,1,5+ years,High,26778.0
1369,36.0,Male,Research & Development,Research Director,17603.0,14.0,3.0,No,No,0,5+ years,High,0.0
1407,36.0,Male,Research & Development,Sales Executive,3904.0,4.0,4.0,No,No,0,2-5 years,Low,0.0
396,49.0,Female,Research & Development,Sales Executive,18665.0,3.0,1.0,Yes,No,0,2-5 years,High,0.0
305,33.0,Female,Research & Development,Research Scientist,2622.0,3.0,2.0,No,No,0,2-5 years,Low,0.0
1938,58.0,Female,Sales,Manager,17875.0,1.0,4.0,Yes,No,0,0-2 years,High,0.0
1125,38.0,Male,Sales,Sales Executive,7351.0,1.0,2.0,No,No,0,0-2 years,High,0.0
1503,47.0,Female,Sales,Sales Executive,4591.0,5.0,3.0,Yes,No,0,2-5 years,Medium,0.0
2213,27.0,Male,Research & Development,Manufacturing Director,5690.0,6.0,1.0,No,No,0,5+ years,Medium,0.0
847,34.0,Male,Human Resources,Human Resources,3737.0,3.0,4.0,No,No,0,2-5 years,Low,0.0
1062,37.0,Female,Research & Development,Healthcare Representative,4107.0,4.0,2.0,No,No,0,2-5 years,Low,0.0
1137,35.0,Male,Sales,Sales Executive,4968.0,5.0,4.0,No,No,0,2-5 years,Medium,0.0
2235,57.0,Female,Research & Development,Research Scientist,4665.0,6.0,3.0,No,No,0,5+ years,Medium,0.0
450,54.0,Female,Research & Development,Research Scientist,4869.0,6.0,3.0,No,No,0,5+ years,Medium,0.0
1853,32.0,Male,Sales,Sales Executive,4648.0,0.0,4.0,No,No,0,0-2 years,Medium,0.0
2225,38.0,Male,Research & Development,Laboratory Technician,2111.0,6.0,2.0,Yes,Yes,1,5+ years,Low,6333.0
2170,48.0,Female,Research & Development,Human Resources,3826.0,8.0,2.0,No,No,0,5+ years,Low,0.0
2111,33.0,Female,Sales,Sales Executive,5523.0,4.0,3.0,No,No,0,2-5 years,Medium,0.0
1097,28.0,Female,Research & Development,Sales Executive,3660.0,8.0,3.0,No,No,0,5+ years,Low,0.0
951,32.0,Female,Research & Development,Laboratory Technician,5228.0,3.0,2.0,No,No,0,2-5 years,Medium,0.0
1852,29.0,Male,Research & Development,Laboratory Technician,3812.0,11.0,4.0,No,No,0,5+ years,Low,0.0
436,32.0,Female,Sales,Sales Executive,5228.0,13.0,2.0,Yes,No,0,5+ years,Medium,0.0
395,36.0,Female,Research & Development,Research Scientist,3310.0,5.0,4.0,No,No,0,2-5 years,Low,0.0
192,45.0,Male,Research & Development,Research Scientist,3452.0,6.0,4.0,No,No,0,5+ years,Low,0.0
2084,32.0,Female,Research & Development,Manufacturing Director,5117.0,1.0,2.0,No,No,0,0-2 years,Medium,0.0
458,31.0,Male,Sales,Sales Executive,10793.0,13.0,4.0,No,No,0,5+ years,High,0.0
2130,48.0,Male,Sales,Sales Executive,5228.0,1.0,1.0,Yes,Yes,1,0-2 years,Medium,15684.0
2231,30.0,Male,Research & Development,Laboratory Technician,3535.0,4.0,3.0,Yes,Yes,1,2-5 years,Low,10605.0
785,47.0,Female,Sales,Sales Executive,6397.0,6.0,3.0,Yes,Yes,1,5+ years,High,19191.0
556,38.0,Male,Research & Development,Laboratory Technician,1702.0,1.0,4.0,Yes,No,0,0-2 years,Low,0.0
429,39.0,Male,Research & Development,Manager,17068.0,21.0,3.0,Yes,No,0,5+ years,High,0.0
2114,41.0,Male,Research & Development,Research Scientist,3432.0,4.0,3.0,No,No,0,2-5 years,Low,0.0
2275,26.0,Male,Human Resources,Sales Executive,1376.0,0.0,2.0,No,Yes,1,0-2 years,Low,4128.0
2266,36.0,Female,Sales,Sales Representative,2762.0,6.0,1.0,No,No,0,5+ years,Low,0.0
2072,29.0,Male,Sales,Sales Executive,4777.0,3.0,1.0,No,No,0,2-5 years,Medium,0.0
2264,19.0,Male,Sales,Sales Representative,2808.0,0.0,4.0,No,Yes,1,0-2 years,Low,8424.0
1890,36.0,Male,Human Resources,Human Resources,3886.0,6.0,4.0,No,No,0,5+ years,Low,0.0
1024,48.0,Male,Research & Development,Healthcare Representative,10999.0,15.0,3.0,No,No,0,5+ years,High,0.0
38,46.0,Female,Sales,Manager,18947.0,6.0,1.0,No,No,0,5+ years,High,0.0
1221,36.0,Male,Research & Development,Laboratory Technician,5228.0,7.0,3.0,No,No,0,5+ years,Medium,0.0
1265,34.0,Female,Research & Development,Research Scientist,2585.0,1.0,3.0,No,No,0,0-2 years,Low,0.0
1135,31.0,Male,Sales,Sales Representative,5228.0,2.0,4.0,No,No,0,0-2 years,Medium,0.0
995,33.0,Female,Research & Development,Research Scientist,3452.0,3.0,4.0,No,No,0,2-5 years,Low,0.0
984,35.0,Male,Sales,Sales Executive,7823.0,10.0,4.0,No,No,0,5+ years,High,0.0
132,44.0,Male,Research & Development,Laboratory Technician,2042.0,3.0,2.0,No,No,0,2-5 years,Low,0.0
1544,52.0,Male,Sales,Manager,19068.0,33.0,3.0,Yes,No,0,5+ years,High,0.0
405,18.0,Male,Research & Development,Laboratory Technician,1420.0,0.0,3.0,No,Yes,1,0-2 years,Low,4260.0
2192,53.0,Male,Sales,Sales Executive,10185.0,2.0,2.0,Yes,Yes,1,0-2 years,High,30555.0
683,34.0,Male,Research & Development,Research Scientist,2691.0,10.0,4.0,No,No,0,5+ years,Low,0.0
2049,35.0,Male,Research & Development,Healthcare Representative,5689.0,10.0,3.0,Yes,No,0,5+ years,Medium,0.0
569,50.0,Male,Research & Development,Manager,17046.0,27.0,3.0,No,No,0,5+ years,High,0.0
650,31.0,Male,Sales,Sales Executive,4233.0,3.0,1.0,No,Yes,1,2-5 years,Low,12699.0
840,36.0,Female,Sales,Sales Executive,7654.0,9.0,4.0,No,Yes,1,5+ years,High,22962.0
1951,34.0,Male,Sales,Sales Executive,8628.0,6.0,3.0,No,No,0,5+ years,High,0.0
1650,29.0,Male,Sales,Sales Executive,5228.0,5.0,3.0,No,No,0,2-5 years,Medium,0.0
382,35.0,Female,Research & Development,Laboratory Technician,5363.0,9.0,4.0,No,No,0,5+ years,Medium,0.0
644,36.0,Male,Human Resources,Manager,5228.0,32.0,2.0,No,No,0,5+ years,Medium,0.0
1371,27.0,Male,Sales,Sales Executive,5228.0,6.0,4.0,No,No,0,5+ years,Medium,0.0
2171,36.0,Male,Research & Development,Laboratory Technician,3616.0,3.0,3.0,No,Yes,1,2-5 years,Low,10848.0
1441,36.0,Female,Research & Development,Research Scientist,2066.0,3.0,1.0,No,No,0,2-5 years,Low,0.0
1201,53.0,Female,Research & Development,Sales Executive,18606.0,7.0,3.0,No,No,0,5+ years,High,0.0
1551,24.0,Male,Research & Development,Laboratory Technician,2296.0,1.0,3.0,No,No,0,0-2 years,Low,0.0
2068,44.0,Male,Research & Development,Research Director,21623.0,10.0,4.0,No,No,0,5+ years,High,0.0
86,45.0,Male,Research & Development,Research Scientist,9724.0,1.0,1.0,No,No,0,0-2 years,High,0.0
1731,47.0,Male,Sales,Sales Executive,4978.0,1.0,2.0,No,No,0,0-2 years,Medium,0.0
287,40.0,Male,Research & Development,Healthcare Representative,4876.0,3.0,4.0,No,No,0,2-5 years,Medium,0.0
2182,37.0,Female,Research & Development,Manufacturing Director,8995.0,3.0,2.0,Yes,No,0,2-5 years,High,0.0
1671,26.0,Male,Sales,Sales Executive,5296.0,8.0,3.0,No,No,0,5+ years,Medium,0.0
1737,39.0,Male,Research & Development,Laboratory Technician,6472.0,9.0,4.0,Yes,No,0,5+ years,High,0.0
2162,19.0,Male,Sales,Sales Representative,2435.0,0.0,3.0,No,Yes,1,0-2 years,Low,7305.0
1516,32.0,Male,Research & Development,Manager,11244.0,5.0,4.0,No,No,0,2-5 years,High,0.0
339,34.0,Male,Research & Development,Manufacturing Director,5957.0,11.0,1.0,No,No,0,5+ years,Medium,0.0
2121,35.0,Female,Research & Development,Research Scientist,4454.0,6.0,4.0,Yes,No,0,5+ years,Medium,0.0
422,58.0,Male,Research & Development,Healthcare Representative,5660.0,5.0,3.0,Yes,No,0,2-5 years,Medium,0.0
288,46.0,Male,Research & Development,Healthcare Representative,9396.0,4.0,1.0,No,No,0,2-5 years,High,0.0
2205,47.0,Female,Research & Development,Manufacturing Director,5098.0,7.0,3.0,No,No,0,5+ years,Medium,0.0
1885,37.0,Male,Research & Development,Research Scientist,4284.0,5.0,1.0,No,No,0,2-5 years,Low,0.0
2143,34.0,Female,Research & Development,Laboratory Technician,3176.0,1.0,1.0,No,No,0,0-2 years,Low,0.0
241,56.0,Female,Research & Development,Research Scientist,4257.0,2.0,1.0,Yes,No,0,0-2 years,Low,0.0
273,38.0,Male,Research & Development,Manufacturing Director,6261.0,7.0,4.0,No,No,0,5+ years,Medium,0.0
564,29.0,Male,Research & Development,Research Director,11935.0,10.0,3.0,No,No,0,5+ years,High,0.0
184,30.0,Male,Human Resources,Human Resources,6347.0,11.0,4.0,Yes,No,0,5+ years,High,0.0
1387,28.0,Male,Sales,Sales Executive,4724.0,5.0,1.0,No,No,0,2-5 years,Medium,0.0
1121,28.0,Female,Research & Development,Manufacturing Director,7655.0,6.0,2.0,No,No,0,5+ years,High,0.0
577,35.0,Male,Research & Development,Laboratory Technician,4230.0,5.0,3.0,No,No,0,2-5 years,Low,0.0
183,25.0,Male,Sales,Sales Executive,8639.0,2.0,3.0,No,No,0,0-2 years,High,0.0
494,21.0,Female,Sales,Sales Representative,2716.0,1.0,2.0,No,Yes,1,0-2 years,Low,8148.0
620,35.0,Female,Sales,Sales Executive,4859.0,5.0,3.0,No,No,0,2-5 years,Medium,0.0
1580,34.0,Male,Research & Development,Research Scientist,5484.0,2.0,4.0,No,No,0,0-2 years,Medium,0.0
1423,58.0,Female,Research & Development,Research Director,19701.0,9.0,1.0,Yes,No,0,5+ years,High,0.0
2261,40.0,Female,Sales,Sales Executive,6377.0,6.0,1.0,No,No,0,5+ years,High,0.0
2123,37.0,Male,Sales,Sales Executive,8421.0,8.0,3.0,No,No,0,5+ years,High,0.0
924,36.0,Male,Research & Development,Healthcare Representative,6586.0,16.0,4.0,Yes,No,0,5+ years,High,0.0
1965,27.0,Male,Research & Development,Sales Executive,4105.0,7.0,4.0,No,No,0,5+ years,Low,0.0
2272,37.0,Male,Research & Development,Research Director,13015.0,6.0,1.0,Yes,No,0,5+ years,High,0.0
165,58.0,Female,Research & Development,Healthcare Representative,10312.0,40.0,3.0,No,Yes,1,5+ years,High,30936.0
2247,39.0,Female,Human Resources,Human Resources,7301.0,10.0,4.0,No,No,0,5+ years,High,0.0
281,40.0,Male,Research & Development,Laboratory Technician,5228.0,7.0,4.0,Yes,No,0,5+ years,Medium,0.0
2165,24.0,Male,Sales,Sales Executive,2573.0,1.0,1.0,No,Yes,1,0-2 years,Low,7719.0
426,31.0,Male,Research & Development,Research Scientist,2695.0,2.0,3.0,Yes,No,0,0-2 years,Low,0.0
1702,23.0,Male,Research & Development,Sales Representative,2275.0,3.0,4.0,Yes,Yes,1,2-5 years,Low,6825.0
2080,42.0,Male,Research & Development,Healthcare Representative,9710.0,19.0,4.0,Yes,No,0,5+ years,High,0.0
1258,48.0,Male,Research & Development,Laboratory Technician,2559.0,1.0,2.0,No,No,0,0-2 years,Low,0.0
1260,29.0,Male,Research & Development,Healthcare Representative,6623.0,6.0,4.0,Yes,No,0,5+ years,High,0.0
1950,34.0,Male,Sales,Sales Executive,9888.0,14.0,4.0,No,No,0,5+ years,High,0.0
1307,36.0,Male,Research & Development,Manager,17123.0,19.0,2.0,Yes,No,0,5+ years,High,0.0
2133,34.0,Female,Sales,Sales Executive,6395.0,8.0,2.0,No,No,0,5+ years,High,0.0
1250,54.0,Male,Research & Development,Research Director,17779.0,10.0,4.0,No,No,0,5+ years,High,0.0
1047,44.0,Male,Research & Development,Laboratory Technician,2818.0,3.0,4.0,Yes,No,0,2-5 years,Low,0.0
1606,50.0,Male,Research & Development,Healthcare Representative,11245.0,30.0,3.0,No,No,0,5+ years,High,0.0
549,60.0,Female,Research & Development,Manager,19566.0,29.0,1.0,No,No,0,5+ years,High,0.0
2197,28.0,Male,Research & Development,Healthcare Representative,6736.0,5.0,3.0,No,No,0,2-5 years,High,0.0
2208,29.0,Female,Research & Development,Laboratory Technician,3150.0,3.0,3.0,No,No,0,2-5 years,Low,0.0
470,36.0,Male,Human Resources,Human Resources,2696.0,3.0,3.0,Yes,No,0,2-5 years,Low,0.0
1836,32.0,Male,Research & Development,Laboratory Technician,3068.0,7.0,3.0,No,No,0,5+ years,Low,0.0
2253,32.0,Male,Sales,Sales Executive,3978.0,11.0,3.0,No,No,0,5+ years,Low,0.0
2257,40.0,Male,Sales,Sales Executive,14125.0,18.0,1.0,No,No,0,5+ years,High,0.0
2083,28.0,Male,Sales,Sales Executive,5876.0,5.0,1.0,Yes,No,0,2-5 years,Medium,0.0
215,40.0,Male,Research & Development,Research Scientist,3319.0,6.0,4.0,No,No,0,5+ years,Low,0.0
1640,37.0,Male,Research & Development,Research Scientist,5228.0,8.0,2.0,No,No,0,5+ years,Medium,0.0
1375,40.0,Female,Research & Development,Healthcare Representative,6377.0,12.0,3.0,No,No,0,5+ years,High,0.0
2120,30.0,Female,Research & Development,Sales Executive,5228.0,2.0,2.0,No,Yes,1,0-2 years,Medium,15684.0
2172,27.0,Male,Research & Development,Laboratory Technician,2797.0,8.0,1.0,No,No,0,5+ years,Low,0.0
2145,32.0,Male,Sales,Sales Executive,10888.0,13.0,4.0,No,No,0,5+ years,High,0.0
2127,28.0,Male,Sales,Sales Executive,5555.0,0.0,3.0,No,No,0,0-2 years,Medium,0.0
76,31.0,Male,Research & Development,Laboratory Technician,5915.0,7.0,4.0,No,No,0,5+ years,Medium,0.0
1927,36.0,Male,Sales,Sales Executive,6834.0,7.0,4.0,Yes,No,0,5+ years,High,0.0
1691,48.0,Female,Sales,Sales Representative,2655.0,6.0,3.0,Yes,Yes,1,5+ years,Low,7965.0
580,46.0,Female,Sales,Sales Executive,9071.0,3.0,4.0,Yes,No,0,2-5 years,High,0.0
2128,42.0,Male,Research & Development,Laboratory Technician,2236.0,5.0,1.0,No,No,0,2-5 years,Low,0.0
1479,30.0,Male,Sales,Sales Executive,5301.0,2.0,3.0,No,No,0,0-2 years,Medium,0.0
626,37.0,Male,Sales,Sales Executive,8834.0,9.0,2.0,No,No,0,5+ years,High,0.0
2249,38.0,Female,Research & Development,Manufacturing Director,6130.0,16.0,1.0,No,No,0,5+ years,Medium,0.0
1289,34.0,Male,Human Resources,Human Resources,4490.0,10.0,2.0,No,No,0,5+ years,Medium,0.0
349,29.0,Male,Sales,Sales Executive,6931.0,3.0,4.0,No,No,0,2-5 years,High,0.0
936,42.0,Female,Sales,Sales Executive,6244.0,5.0,3.0,No,No,0,2-5 years,Medium,0.0
1071,56.0,Female,Research & Development,Research Scientist,2942.0,5.0,3.0,No,No,0,2-5 years,Low,0.0
2226,27.0,Female,Research & Development,Sales Executive,2624.0,10.0,1.0,No,No,0,5+ years,Low,0.0
816,29.0,Male,Research & Development,Laboratory Technician,2319.0,1.0,3.0,Yes,Yes,1,0-2 years,Low,6957.0
2076,48.0,Female,Research & Development,Manager,5228.0,0.0,1.0,No,No,0,0-2 years,Medium,0.0
2240,33.0,Male,Research & Development,Sales Executive,10783.0,12.0,3.0,No,Yes,1,5+ years,High,32349.0
2199,31.0,Female,Research & Development,Laboratory Technician,2509.0,7.0,2.0,No,No,0,5+ years,Low,0.0
1119,38.0,Male,Sales,Sales Executive,8740.0,8.0,3.0,Yes,No,0,5+ years,High,0.0
1477,33.0,Male,Sales,Sales Executive,4373.0,4.0,1.0,No,No,0,2-5 years,Medium,0.0
1594,36.0,Male,Research & Development,Laboratory Technician,5562.0,3.0,1.0,No,No,0,2-5 years,Medium,0.0
1578,55.0,Male,Sales,Manager,19586.0,36.0,4.0,No,No,0,5+ years,High,0.0
1206,44.0,Male,Research & Development,Research Scientist,5228.0,0.0,3.0,No,No,0,0-2 years,Medium,0.0
1446,32.0,Male,Sales,Sales Executive,9204.0,4.0,4.0,No,No,0,2-5 years,High,0.0
920,43.0,Female,Research & Development,Manufacturing Director,4765.0,1.0,2.0,No,No,0,0-2 years,Medium,0.0
2174,36.0,Female,Sales,Sales Executive,7820.0,11.0,4.0,No,No,0,5+ years,High,0.0
949,36.0,Male,Research & Development,Research Scientist,4678.0,6.0,4.0,No,No,0,5+ years,Medium,0.0
2270,51.0,Male,Research & Development,Manufacturing Director,10393.0,6.0,1.0,No,Yes,1,5+ years,High,31179.0
1582,38.0,Male,Sales,Sales Executive,9924.0,9.0,2.0,No,No,0,5+ years,High,0.0
468,42.0,Female,Research & Development,Research Director,15992.0,1.0,4.0,No,No,0,0-2 years,High,0.0
1182,35.0,Male,Research & Development,Manufacturing Director,10274.0,7.0,2.0,No,No,0,5+ years,High,0.0
2008,35.0,Male,Research & Development,Research Scientist,5098.0,10.0,3.0,No,No,0,5+ years,Medium,0.0
445,39.0,Female,Sales,Sales Executive,5238.0,1.0,3.0,Yes,Yes,1,0-2 years,Medium,15714.0
2222,45.0,Male,Research & Development,Research Scientist,3820.0,5.0,4.0,No,No,0,2-5 years,Low,0.0
2220,28.0,Female,Sales,Sales Executive,10449.0,9.0,3.0,Yes,No,0,5+ years,High,0.0
2065,49.0,Male,Sales,Sales Executive,5390.0,9.0,2.0,No,No,0,5+ years,Medium,0.0
1108,33.0,Male,Research & Development,Research Scientist,2313.0,2.0,2.0,Yes,Yes,1,0-2 years,Low,6939.0
2036,36.0,Male,Sales,Sales Executive,5406.0,15.0,4.0,No,No,0,5+ years,Medium,0.0
1653,25.0,Male,Research & Development,Manufacturing Director,5206.0,7.0,3.0,No,No,0,5+ years,Medium,0.0
1941,49.0,Male,Research & Development,Research Director,5228.0,5.0,4.0,No,No,0,2-5 years,Medium,0.0
2146,21.0,Male,Research & Development,Research Scientist,1271.0,0.0,2.0,No,No,0,0-2 years,Low,0.0
1443,47.0,Female,Research & Development,Research Director,17169.0,20.0,3.0,No,No,0,5+ years,High,0.0
1317,50.0,Female,Research & Development,Research Director,16880.0,3.0,1.0,Yes,No,0,2-5 years,High,0.0
2105,48.0,Female,Sales,Sales Executive,4902.0,4.0,1.0,No,No,0,2-5 years,Medium,0.0
302,45.0,Female,Research & Development,Sales Executive,8865.0,6.0,4.0,No,No,0,5+ years,High,0.0
2003,36.0,Male,Research & Development,Laboratory Technician,5228.0,2.0,3.0,Yes,No,0,0-2 years,Medium,0.0
548,30.0,Female,Research & Development,Manufacturing Director,6091.0,6.0,4.0,No,No,0,5+ years,Medium,0.0
1465,45.0,Male,Research & Development,Manufacturing Director,9380.0,3.0,4.0,Yes,No,0,2-5 years,High,0.0
1654,39.0,Male,Research & Development,Manufacturing Director,5295.0,5.0,2.0,No,No,0,2-5 years,Medium,0.0
233,27.0,Male,Research & Development,Research Scientist,3058.0,5.0,2.0,Yes,No,0,2-5 years,Low,0.0
336,45.0,Male,Research & Development,Manager,19202.0,24.0,4.0,No,No,0,5+ years,High,0.0
1248,19.0,Female,Research & Development,Research Scientist,1859.0,1.0,3.0,Yes,Yes,1,0-2 years,Low,5577.0
723,50.0,Male,Sales,Sales Executive,6796.0,4.0,3.0,Yes,Yes,1,2-5 years,High,20388.0
2265,53.0,Male,Research & Development,Research Scientist,3977.0,4.0,2.0,No,No,0,2-5 years,Low,0.0
170,49.0,Female,Research & Development,Manufacturing Director,6567.0,15.0,1.0,No,No,0,5+ years,High,0.0
1800,36.0,Male,Research & Development,Research Director,13464.0,4.0,3.0,No,No,0,2-5 years,High,0.0
2259,30.0,Male,Research & Development,Research Scientist,2431.0,0.0,3.0,Yes,No,0,0-2 years,Low,0.0
760,39.0,Female,Human Resources,Human Resources,6389.0,8.0,2.0,No,No,0,5+ years,High,0.0
81,59.0,Female,Sales,Sales Executive,7637.0,21.0,1.0,No,No,0,5+ years,High,0.0
1609,30.0,Male,Research & Development,Research Scientist,2141.0,6.0,2.0,No,No,0,5+ years,Low,0.0
932,39.0,Male,Research & Development,Sales Executive,2404.0,2.0,1.0,Yes,Yes,1,0-2 years,Low,7212.0
2137,38.0,Male,Research & Development,Manufacturing Director,9809.0,6.0,1.0,No,No,0,5+ years,High,0.0
1866,43.0,Female,Research & Development,Manager,19392.0,16.0,3.0,No,No,0,5+ years,High,0.0
2221,46.0,Male,Sales,Sales Executive,5400.0,6.0,4.0,No,No,0,5+ years,Medium,0.0
647,24.0,Female,Research & Development,Laboratory Technician,2886.0,6.0,3.0,Yes,Yes,1,5+ years,Low,8658.0
1823,34.0,Male,Sales,Sales Executive,6799.0,10.0,3.0,No,No,0,5+ years,High,0.0
2227,28.0,Male,Sales,Sales Executive,5465.0,6.0,2.0,Yes,No,0,5+ years,Medium,0.0
434,27.0,Female,Research & Development,Research Scientist,5228.0,4.0,2.0,Yes,No,0,2-5 years,Medium,0.0
2148,42.0,Male,Sales,Sales Executive,8007.0,3.0,1.0,Yes,Yes,1,2-5 years,High,24021.0
169,36.0,Male,Research & Development,Laboratory Technician,2523.0,2.0,3.0,No,No,0,0-2 years,Low,0.0
399,31.0,Female,Sales,Sales Representative,2789.0,2.0,2.0,No,No,0,0-2 years,Low,0.0
2281,30.0,Female,Sales,Sales Executive,4682.0,1.0,3.0,No,Yes,1,0-2 years,Medium,14046.0
2152,38.0,Male,Research & Development,Manufacturing Director,6649.0,3.0,4.0,No,No,0,2-5 years,High,0.0
1502,33.0,Female,Research & Development,Laboratory Technician,3838.0,5.0,2.0,No,No,0,2-5 years,Low,0.0
1029,36.0,Male,Sales,Manager,18303.0,1.0,3.0,No,No,0,0-2 years,High,0.0
475,36.0,Female,Sales,Sales Executive,4736.0,6.0,3.0,Yes,No,0,5+ years,Medium,0.0
