EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,OverTime,Attrition
1135,31.0,Male,Sales,Sales Representative,,2.0,4.0,,No
995,33.0,Female,Research & Development,Research Scientist,3452.0,3.0,4.0,No,No
984,35.0,Male,Sales,Sales Executive,7823.0,10.0,4.0,No,No
132,44.0,Male,Research & Development,Laboratory Technician,2042.0,3.0,2.0,No,No
1544,52.0,,Sales,Manager,19068.0,33.0,3.0,Yes,No
405,18.0,Male,Research & Development,Laboratory Technician,1420.0,0.0,3.0,No,Yes
2192,53.0,Male,Sales,Sales Executive,10185.0,2.0,2.0,Yes,Yes
683,34.0,Male,Research & Development,Research Scientist,2691.0,10.0,4.0,No,No
2049,35.0,Male,Research & Development,Healthcare Representative,5689.0,10.0,3.0,Yes,No
569,50.0,,Research & Development,Manager,17046.0,27.0,,No,No
650,31.0,Male,Sales,Sales Executive,4233.0,3.0,1.0,,Yes
840,,Female,Sales,Sales Executive,7654.0,9.0,4.0,No,Yes
1951,34.0,Male,Sales,Sales Executive,8628.0,,3.0,No,No
1650,29.0,Male,Sales,Sales Executive,,5.0,3.0,No,No
382,35.0,Female,Research & Development,Laboratory Technician,5363.0,9.0,4.0,No,No
644,,Male,Human Resources,Manager,,32.0,2.0,No,No
1371,27.0,Male,Sales,Sales Executive,,6.0,4.0,,No
2171,,Male,Research & Development,Laboratory Technician,3616.0,3.0,3.0,No,Yes
1441,,Female,Research & Development,Research Scientist,2066.0,3.0,1.0,No,No
1201,53.0,Female,Research & Development,,18606.0,7.0,3.0,No,No
1551,24.0,Male,Research & Development,Laboratory Technician,2296.0,1.0,,No,No
2068,44.0,Male,,Research Director,21623.0,10.0,4.0,No,No
86,45.0,Male,Research & Development,Research Scientist,9724.0,1.0,1.0,No,No
1731,47.0,Male,Sales,Sales Executive,4978.0,1.0,2.0,No,No
287,40.0,Male,Research & Development,Healthcare Representative,4876.0,3.0,4.0,No,No
2182,37.0,Female,Research & Development,Manufacturing Director,8995.0,3.0,2.0,Yes,No
1671,26.0,Male,Sales,Sales Executive,5296.0,8.0,,No,No
1737,39.0,Male,Research & Development,Laboratory Technician,6472.0,9.0,4.0,Yes,No
2162,19.0,,Sales,Sales Representative,2435.0,0.0,3.0,No,Yes
1516,32.0,Male,Research & Development,Manager,11244.0,5.0,4.0,No,No
339,34.0,Male,Research & Development,Manufacturing Director,5957.0,11.0,1.0,No,No
2121,35.0,Female,Research & Development,Research Scientist,4454.0,,4.0,Yes,No
1268,33.0,Male,Sales,Sales Executive,8380.0,9.0,3.0,Yes,No
422,58.0,Male,Research & Development,Healthcare Representative,5660.0,5.0,3.0,Yes,No
288,46.0,Male,Research & Development,Healthcare Representative,9396.0,4.0,1.0,No,No
2205,47.0,Female,Research & Development,Manufacturing Director,5098.0,7.0,3.0,No,No
1885,37.0,Male,,Research Scientist,4284.0,5.0,1.0,,No
2143,34.0,Female,Research & Development,Laboratory Technician,3176.0,1.0,1.0,No,No
1419,29.0,,Human Resources,Human Resources,7988.0,10.0,1.0,,No
241,56.0,Female,Research & Development,Research Scientist,4257.0,2.0,1.0,Yes,No
273,38.0,Male,Research & Development,Manufacturing Director,6261.0,7.0,4.0,No,No
564,29.0,Male,Research & Development,Research Director,11935.0,10.0,3.0,No,No
184,30.0,Male,Human Resources,Human Resources,6347.0,11.0,4.0,Yes,No
1387,28.0,,Sales,Sales Executive,4724.0,5.0,1.0,No,No
1121,28.0,Female,,Manufacturing Director,7655.0,,2.0,No,No
577,35.0,Male,Research & Development,Laboratory Technician,4230.0,5.0,3.0,No,No
183,25.0,Male,Sales,Sales Executive,8639.0,2.0,3.0,No,No
494,21.0,Female,Sales,Sales Representative,2716.0,1.0,2.0,No,Yes
620,35.0,Female,Sales,Sales Executive,4859.0,5.0,3.0,No,No
1580,34.0,Male,Research & Development,Research Scientist,5484.0,2.0,4.0,No,No
1423,58.0,Female,Research & Development,Research Director,19701.0,9.0,1.0,Yes,No
2261,40.0,Female,Sales,Sales Executive,6377.0,,1.0,No,No
2123,37.0,Male,Sales,Sales Executive,8421.0,8.0,,No,No
924,36.0,Male,Research & Development,Healthcare Representative,6586.0,16.0,4.0,Yes,No
1965,27.0,Male,,Sales Executive,4105.0,7.0,4.0,No,No
2272,37.0,,Research & Development,Research Director,13015.0,,1.0,Yes,No
165,58.0,Female,Research & Development,Healthcare Representative,10312.0,40.0,,No,Yes
2247,39.0,Female,Human Resources,Human Resources,7301.0,10.0,4.0,,No
281,40.0,Male,Research & Development,Laboratory Technician,,7.0,4.0,Yes,No
2165,24.0,Male,Sales,,2573.0,1.0,1.0,No,Yes
426,31.0,Male,Research & Development,Research Scientist,2695.0,2.0,,Yes,No
1702,23.0,Male,,Sales Representative,2275.0,3.0,4.0,Yes,Yes
2080,42.0,Male,Research & Development,Healthcare Representative,9710.0,19.0,4.0,Yes,No
579,39.0,Male,Research & Development,Laboratory Technician,3069.0,10.0,,No,No
1258,48.0,Male,,Laboratory Technician,2559.0,1.0,2.0,No,No
1260,29.0,Male,Research & Development,Healthcare Representative,6623.0,6.0,4.0,Yes,No
1950,34.0,Male,Sales,Sales Executive,9888.0,14.0,4.0,,No
1307,,,Research & Development,Manager,17123.0,19.0,2.0,Yes,No
2133,34.0,Female,Sales,Sales Executive,6395.0,8.0,2.0,No,No
1250,54.0,Male,Research & Development,Research Director,17779.0,10.0,4.0,No,No
1047,44.0,Male,Research & Development,Laboratory Technician,2818.0,3.0,4.0,Yes,No
1606,50.0,,Research & Development,Healthcare Representative,11245.0,30.0,3.0,,No
549,60.0,Female,Research & Development,Manager,19566.0,29.0,1.0,No,No
2197,28.0,Male,Research & Development,Healthcare Representative,6736.0,5.0,3.0,,No
2208,29.0,Female,,Laboratory Technician,3150.0,3.0,3.0,,No
470,,Male,Human Resources,Human Resources,2696.0,3.0,3.0,Yes,No
1836,32.0,Male,Research & Development,Laboratory Technician,3068.0,7.0,,No,No
2253,32.0,,Sales,Sales Executive,3978.0,11.0,3.0,,No
2257,40.0,,Sales,Sales Executive,14125.0,18.0,1.0,No,No
2083,28.0,Male,Sales,Sales Executive,5876.0,5.0,1.0,Yes,No
288,46.0,Male,Research & Development,Healthcare Representative,9396.0,4.0,1.0,No,No
215,40.0,Male,Research & Development,Research Scientist,3319.0,,4.0,No,No
1640,37.0,,,Research Scientist,,8.0,2.0,No,No
1375,40.0,Female,Research & Development,Healthcare Representative,6377.0,12.0,3.0,No,No
2120,30.0,Female,,Sales Executive,,2.0,2.0,No,Yes
2172,27.0,Male,Research & Development,Laboratory Technician,2797.0,8.0,1.0,No,No
964,40.0,Male,Research & Development,Research Scientist,3617.0,1.0,2.0,Yes,No
2145,32.0,Male,Sales,Sales Executive,10888.0,13.0,4.0,No,No
2127,28.0,Male,Sales,Sales Executive,5555.0,0.0,3.0,No,No
76,31.0,Male,Research & Development,Laboratory Technician,5915.0,7.0,4.0,No,No
1927,,Male,Sales,Sales Executive,6834.0,7.0,4.0,Yes,No
1671,32.0,Male,Research & Development,Research Scientist,5470.0,9.0,2.0,No,No
1691,48.0,Female,Sales,Sales Representative,2655.0,,3.0,Yes,Yes
580,46.0,Female,Sales,Sales Executive,9071.0,3.0,4.0,Yes,No
2128,42.0,Male,,Laboratory Technician,2236.0,5.0,1.0,No,No
1479,30.0,Male,Sales,Sales Executive,5301.0,2.0,3.0,No,No
626,37.0,Male,Sales,Sales Executive,8834.0,9.0,2.0,No,No
2249,38.0,Female,Research & Development,Manufacturing Director,6130.0,16.0,1.0,No,No
1289,34.0,Male,Human Resources,Human Resources,4490.0,10.0,2.0,No,No
349,29.0,Male,Sales,Sales Executive,6931.0,3.0,4.0,No,No
936,42.0,Female,Sales,Sales Executive,6244.0,5.0,3.0,No,No
1071,56.0,Female,Research & Development,Research Scientist,2942.0,5.0,3.0,No,No
2040,35.0,Female,Human Resources,Human Resources,8837.0,9.0,4.0,,No
2226,27.0,Female,Research & Development,,2624.0,10.0,1.0,No,No
816,29.0,,Research & Development,Laboratory Technician,2319.0,1.0,,Yes,Yes
2076,48.0,Female,Research & Development,Manager,,0.0,1.0,No,No
2240,33.0,,,Sales Executive,10783.0,12.0,3.0,No,Yes
2199,31.0,Female,Research & Development,Laboratory Technician,2509.0,7.0,2.0,,No
1119,38.0,Male,Sales,,8740.0,8.0,3.0,Yes,No
1477,33.0,Male,Sales,Sales Executive,4373.0,4.0,1.0,No,No
1594,36.0,Male,Research & Development,Laboratory Technician,5562.0,3.0,1.0,,No
1578,55.0,Male,Sales,Manager,19586.0,36.0,4.0,No,No
1206,44.0,Male,Research & Development,Research Scientist,,0.0,3.0,No,No
1446,32.0,Male,Sales,Sales Executive,9204.0,4.0,4.0,No,No
920,43.0,Female,Research & Development,Manufacturing Director,4765.0,1.0,2.0,No,No
2174,,Female,Sales,Sales Executive,7820.0,11.0,4.0,No,No
949,36.0,Male,Research & Development,Research Scientist,4678.0,6.0,4.0,No,No
2270,51.0,Male,Research & Development,Manufacturing Director,10393.0,6.0,1.0,No,Yes
1582,38.0,Male,Sales,Sales Executive,9924.0,9.0,2.0,No,No
468,42.0,Female,Research & Development,Research Director,15992.0,1.0,4.0,,No
1182,35.0,Male,Research & Development,Manufacturing Director,10274.0,7.0,2.0,No,No
2008,35.0,Male,Research & Development,Research Scientist,5098.0,10.0,3.0,,No
445,39.0,Female,Sales,Sales Executive,5238.0,1.0,3.0,Yes,Yes
2222,45.0,Male,Research & Development,Research Scientist,3820.0,5.0,4.0,No,No
2220,28.0,Female,Sales,Sales Executive,10449.0,9.0,,Yes,No
2065,49.0,Male,Sales,Sales Executive,5390.0,9.0,2.0,No,No
1108,33.0,Male,Research & Development,Research Scientist,2313.0,2.0,2.0,Yes,Yes
2036,,Male,Sales,Sales Executive,5406.0,15.0,4.0,No,No
1653,25.0,Male,Research & Development,Manufacturing Director,5206.0,7.0,3.0,No,No
1941,49.0,Male,Research & Development,Research Director,,5.0,4.0,No,No
2146,21.0,Male,Research & Development,Research Scientist,1271.0,0.0,2.0,,No
1443,47.0,Female,Research & Development,Research Director,17169.0,20.0,3.0,No,No
1390,39.0,Male,Sales,Sales Executive,6120.0,5.0,4.0,Yes,No
1317,50.0,Female,Research & Development,Research Director,16880.0,3.0,1.0,Yes,No
2105,48.0,Female,Sales,Sales Executive,4902.0,4.0,1.0,No,No
302,45.0,Female,,Sales Executive,8865.0,,4.0,No,No
2003,,Male,Research & Development,Laboratory Technician,,2.0,3.0,Yes,No
548,30.0,Female,,Manufacturing Director,6091.0,,4.0,No,No
1465,45.0,Male,Research & Development,Manufacturing Director,9380.0,3.0,4.0,Yes,No
1654,39.0,Male,Research & Development,Manufacturing Director,5295.0,5.0,2.0,No,No
233,27.0,Male,Research & Development,Research Scientist,3058.0,5.0,2.0,Yes,No
2036,36.0,Male,Sales,Sales Executive,5406.0,15.0,4.0,No,No
336,45.0,Male,Research & Development,Manager,19202.0,24.0,4.0,No,No
1248,19.0,Female,Research & Development,Research Scientist,1859.0,1.0,,Yes,Yes
723,50.0,Male,Sales,Sales Executive,6796.0,4.0,3.0,Yes,Yes
2265,53.0,Male,Research & Development,Research Scientist,3977.0,4.0,2.0,No,No
170,49.0,Female,,Manufacturing Director,6567.0,15.0,1.0,,No
1800,,Male,Research & Development,Research Director,13464.0,4.0,3.0,No,No
1836,26.0,Male,Sales,Sales Executive,4684.0,5.0,,No,No
2259,30.0,Male,,Research Scientist,2431.0,0.0,3.0,Yes,No
760,39.0,Female,Human Resources,Human Resources,6389.0,8.0,2.0,No,No
81,59.0,Female,Sales,,7637.0,21.0,1.0,No,No
1609,30.0,Male,Research & Development,Research Scientist,2141.0,6.0,2.0,No,No
1516,32.0,Male,Research & Development,Manager,11244.0,5.0,4.0,No,No
932,39.0,Male,Research & Development,,2404.0,2.0,1.0,Yes,Yes
2137,38.0,Male,Research & Development,Manufacturing Director,9809.0,,1.0,,No
1866,43.0,Female,Research & Development,Manager,19392.0,16.0,3.0,,No
2221,46.0,Male,Sales,Sales Executive,5400.0,6.0,4.0,No,No
932,39.0,Male,Research & Development,,2404.0,2.0,1.0,Yes,Yes
647,24.0,Female,Research & Development,Laboratory Technician,2886.0,6.0,3.0,Yes,Yes
1823,34.0,Male,Sales,Sales Executive,6799.0,10.0,3.0,No,No
2227,28.0,Male,Sales,Sales Executive,5465.0,6.0,2.0,Yes,No
1938,58.0,Female,Sales,Manager,17875.0,1.0,4.0,Yes,No
434,27.0,Female,,Research Scientist,,4.0,2.0,Yes,No
2148,42.0,,Sales,,8007.0,3.0,1.0,Yes,Yes
169,,Male,Research & Development,Laboratory Technician,2523.0,2.0,,No,No
399,31.0,Female,Sales,Sales Representative,2789.0,2.0,2.0,No,No
2281,30.0,Female,Sales,Sales Executive,4682.0,1.0,3.0,No,Yes
2152,38.0,,Research & Development,Manufacturing Director,6649.0,3.0,4.0,No,No
1502,33.0,Female,,Laboratory Technician,3838.0,5.0,2.0,No,No
1029,,Male,Sales,Manager,18303.0,1.0,3.0,No,No
475,,Female,Sales,Sales Executive,4736.0,,3.0,Yes,No
623,37.0,Female,,Manufacturing Director,7491.0,6.0,4.0,No,No
2245,35.0,Female,Research & Development,Research Scientist,2609.0,4.0,4.0,No,No
587,31.0,Male,Research & Development,Healthcare Representative,9824.0,1.0,,No,Yes
1763,30.0,Male,Research & Development,Healthcare Representative,5294.0,7.0,3.0,No,No
2262,31.0,Male,Research & Development,Laboratory Technician,4259.0,12.0,1.0,No,No
2255,43.0,Female,Research & Development,Research Scientist,5188.0,5.0,4.0,,No
39,33.0,Male,Research & Development,Laboratory Technician,2496.0,1.0,4.0,No,No
2280,36.0,Male,Sales,Sales Executive,5464.0,6.0,1.0,No,No
1934,47.0,Male,Research & Development,,5467.0,8.0,2.0,No,No
964,40.0,Male,Research & Development,Research Scientist,3617.0,1.0,2.0,Yes,No
1133,36.0,Male,Research & Development,Manufacturing Director,7779.0,11.0,4.0,No,No
1047,34.0,Male,Sales,Sales Executive,9725.0,15.0,4.0,No,No
1657,20.0,Female,Sales,Sales Representative,2783.0,2.0,3.0,No,No
105,35.0,Male,Research & Development,Research Scientist,2859.0,6.0,3.0,No,No
319,42.0,Male,Research & Development,Manager,19232.0,22.0,4.0,No,No
479,36.0,,Sales,Sales Executive,6653.0,1.0,4.0,No,No
2224,,Female,Sales,Sales Executive,7359.0,11.0,2.0,No,No
1822,40.0,,Research & Development,Healthcare Representative,6513.0,,4.0,No,No
1501,55.0,Male,Research & Development,Healthcare Representative,4035.0,3.0,,Yes,No
2103,18.0,Male,,Research Scientist,1093.0,2.0,2.0,No,No
2046,45.0,Female,Sales,Sales Executive,4850.0,5.0,3.0,No,No
754,43.0,Male,Sales,Sales Executive,6804.0,2.0,4.0,No,No
857,36.0,Male,,Sales Executive,6201.0,18.0,4.0,Yes,No
538,25.0,Male,Research & Development,Laboratory Technician,4031.0,2.0,,No,Yes
852,44.0,Male,Research & Development,Healthcare Representative,5933.0,5.0,2.0,No,No
359,32.0,Male,,Laboratory Technician,2794.0,5.0,2.0,No,No
796,26.0,Male,Sales,Sales Executive,5326.0,,1.0,No,Yes
1576,48.0,Female,Research & Development,Research Scientist,2367.0,8.0,1.0,No,No
571,30.0,Female,Research & Development,Laboratory Technician,2564.0,11.0,4.0,No,No
2091,32.0,Male,Sales,Sales Executive,4638.0,7.0,1.0,No,No
501,36.0,Female,Research & Development,Research Scientist,,2.0,3.0,No,No
2100,28.0,Female,Research & Development,Manufacturing Director,9194.0,10.0,1.0,No,No
2067,37.0,,Human Resources,Human Resources,3982.0,,1.0,,No
992,33.0,Male,Sales,Manager,17444.0,10.0,3.0,No,No
1585,,Female,Sales,Sales Executive,6815.0,1.0,3.0,No,No
566,19.0,Male,,Human Resources,,1.0,4.0,No,Yes
1447,34.0,Female,Research & Development,Laboratory Technician,3294.0,5.0,2.0,No,No
2135,47.0,Male,Research & Development,Laboratory Technician,2456.0,3.0,3.0,No,Yes
1707,24.0,Male,,Research Scientist,4401.0,5.0,3.0,No,No
2233,25.0,Female,Sales,Sales Executive,3580.0,0.0,3.0,Yes,No
1764,32.0,Male,Research & Development,Research Scientist,2718.0,7.0,2.0,No,No
391,37.0,Female,Research & Development,Research Scientist,2115.0,17.0,4.0,No,No
722,32.0,Male,Sales,Sales Executive,5396.0,10.0,4.0,No,No
271,38.0,Male,Research & Development,Manufacturing Director,6553.0,1.0,3.0,No,No
1611,45.0,Female,Research & Development,Laboratory Technician,5769.0,10.0,1.0,Yes,No
1344,36.0,Female,Research & Development,Manufacturing Director,4663.0,,3.0,Yes,No
2071,,Male,Research & Development,Research Scientist,3917.0,5.0,4.0,No,No
806,30.0,Male,,Laboratory Technician,3833.0,2.0,3.0,No,No
2283,33.0,,Research & Development,Manufacturing Director,,5.0,2.0,No,No
508,30.0,Male,Sales,Sales Representative,2476.0,1.0,2.0,No,No
144,22.0,Female,Research & Development,Laboratory Technician,,0.0,4.0,No,No
142,25.0,Male,Sales,Sales Executive,5744.0,,3.0,Yes,Yes
2210,28.0,Female,Sales,Sales Executive,9437.0,8.0,3.0,Yes,No
520,43.0,Male,Research & Development,Research Director,14336.0,25.0,2.0,No,No
2086,47.0,Male,Research & Development,,3398.0,8.0,4.0,Yes,No
1662,36.0,Female,Research & Development,Manufacturing Director,4374.0,3.0,3.0,No,No
1815,41.0,Female,Sales,Sales Executive,,22.0,3.0,Yes,No
734,41.0,Male,Human Resources,Manager,19189.0,22.0,3.0,No,No
392,,Male,Research & Development,Laboratory Technician,3161.0,1.0,3.0,Yes,Yes
312,29.0,Female,Sales,Sales Executive,7918.0,11.0,4.0,No,No
807,34.0,Male,,Manufacturing Director,4724.0,9.0,4.0,No,No
1279,21.0,Female,Research & Development,Laboratory Technician,2625.0,2.0,,No,Yes
2157,24.0,Male,Research & Development,Research Scientist,2857.0,7.0,2.0,No,Yes
1871,39.0,Male,Research & Development,Research Scientist,3902.0,2.0,4.0,No,No
424,31.0,Male,Human Resources,Human Resources,6410.0,2.0,1.0,,No
5,33.0,Female,Research & Development,Research Scientist,2909.0,8.0,,Yes,No
2228,40.0,Female,Research & Development,Research Scientist,4509.0,4.0,1.0,,No
854,25.0,Male,Research & Development,Research Scientist,3424.0,4.0,1.0,No,No
2177,24.0,Male,Sales,Sales Executive,9308.0,7.0,3.0,No,No
2230,29.0,Male,Sales,Sales Executive,4957.0,9.0,3.0,No,No
2093,,Female,Research & Development,Research Scientist,5324.0,10.0,4.0,No,No
2237,22.0,Male,Research & Development,Laboratory Technician,3621.0,2.0,3.0,,No
2098,45.0,Female,Sales,Manager,13150.0,0.0,4.0,No,No
1507,28.0,,Sales,Sales Executive,4898.0,4.0,,No,No
1428,30.0,Female,Sales,Sales Executive,4779.0,3.0,1.0,,No
947,31.0,Female,Sales,Sales Executive,6932.0,9.0,3.0,No,No
245,,,Research & Development,Laboratory Technician,2288.0,2.0,,No,No
74,35.0,,Sales,Sales Executive,9069.0,9.0,1.0,No,No
2156,53.0,Male,Research & Development,Manufacturing Director,11675.0,4.0,2.0,No,No
592,36.0,Male,Sales,Sales Executive,9980.0,10.0,4.0,No,No
1280,46.0,Female,,Manager,18789.0,11.0,2.0,No,No
1698,33.0,Male,Research & Development,Laboratory Technician,2028.0,14.0,2.0,No,No
1597,34.0,Male,Research & Development,Healthcare Representative,5063.0,8.0,3.0,,No
2211,33.0,Female,Research & Development,Research Director,10709.0,6.0,1.0,Yes,No
2181,46.0,Female,Sales,Sales Executive,4521.0,4.0,,Yes,No
1646,24.0,,Research & Development,Research Scientist,3760.0,6.0,4.0,Yes,No
440,31.0,Female,Research & Development,Manufacturing Director,7446.0,10.0,2.0,No,Yes
1962,35.0,Female,Sales,Sales Executive,5204.0,10.0,4.0,,No
91,,Female,Sales,Sales Executive,5473.0,4.0,3.0,No,No
491,50.0,Male,Research & Development,Healthcare Representative,10496.0,4.0,4.0,No,No
2085,39.0,Male,Research & Development,Laboratory Technician,2260.0,3.0,2.0,Yes,Yes
2106,30.0,Female,Research & Development,Research Scientist,3150.0,,2.0,No,No
724,38.0,Female,Research & Development,Healthcare Representative,7625.0,9.0,4.0,No,No
1377,34.0,Male,Research & Development,Laboratory Technician,5429.0,8.0,3.0,No,No
615,40.0,Male,Sales,Sales Executive,10932.0,1.0,1.0,No,No
1714,24.0,Male,Human Resources,Human Resources,1555.0,1.0,3.0,No,Yes
1288,44.0,Male,Research & Development,Manager,19190.0,25.0,,No,No
1318,40.0,Male,Sales,Sales Executive,9094.0,5.0,2.0,Yes,Yes
62,46.0,Male,Sales,Sales Executive,5772.0,9.0,4.0,Yes,No
